index,relative_path,category,size_bytes,description
0,01_Frozen_Builds/EBB-AI-SENTINEL-2_EXAMINED_RC1_BASELINE.zip,01_Frozen_Builds,36244,Frozen deployable/rollback archive
1,01_Frozen_Builds/EBB-AI-SENTINEL-2_EXAMINED_RC2_FROZEN_CANDIDATE.zip,01_Frozen_Builds,38287,Frozen deployable/rollback archive
2,01_Frozen_Builds/EBB-AI-SENTINEL-2_NAVIGATOR_RC1_BASELINE.zip,01_Frozen_Builds,220705,Frozen deployable/rollback archive
3,01_Frozen_Builds/EBB-AI-SENTINEL-2_NAVIGATOR_RC2_FROZEN_CANDIDATE.zip,01_Frozen_Builds,224346,Frozen deployable/rollback archive
4,02_Principal/EBB-AI-SENTINEL-2_Blind_Tutor_Response_Review_Rubric.docx,02_Principal,39828,"Principal report, decision memo, or review rubric"
5,02_Principal/EBB-AI-SENTINEL-2_Blind_Tutor_Response_Review_Rubric.pdf,02_Principal,68980,"Principal report, decision memo, or review rubric"
6,02_Principal/EBB-AI-SENTINEL-2_Live_Paired_Tutor_Certification_and_Safety_Override_Validation_Report.docx,02_Principal,43630,"Principal report, decision memo, or review rubric"
7,02_Principal/EBB-AI-SENTINEL-2_Live_Paired_Tutor_Certification_and_Safety_Override_Validation_Report.pdf,02_Principal,126059,"Principal report, decision memo, or review rubric"
8,02_Principal/EBB-AI-SENTINEL-2_RC2_Release_Freeze_and_Fall_Deployment_Decision_Memo.docx,02_Principal,39551,"Principal report, decision memo, or review rubric"
9,02_Principal/EBB-AI-SENTINEL-2_RC2_Release_Freeze_and_Fall_Deployment_Decision_Memo.pdf,02_Principal,67902,"Principal report, decision memo, or review rubric"
10,03_Live_Certification/EBB-AI-SENTINEL-2_CAPTURED_REQUESTS.jsonl,03_Live_Certification,887149,"Live-certification runner, reviewer, corpus, or captured request evidence"
11,03_Live_Certification/EBB-AI-SENTINEL-2_PAIRED_BEHAVIOR_REGRESSION_CORPUS.csv,03_Live_Certification,8047,"Live-certification runner, reviewer, corpus, or captured request evidence"
12,03_Live_Certification/blind_reviewer.html,03_Live_Certification,6037,"Live-certification runner, reviewer, corpus, or captured request evidence"
13,03_Live_Certification/run_live_paired_certification.py,03_Live_Certification,9105,"Live-certification runner, reviewer, corpus, or captured request evidence"
14,03_Live_Certification/run_sentinel2_preflight.py,03_Live_Certification,5988,"Live-certification runner, reviewer, corpus, or captured request evidence"
15,03_Live_Certification/score_review.py,03_Live_Certification,2775,"Live-certification runner, reviewer, corpus, or captured request evidence"
16,04_Registers/EBB-AI-SENTINEL-2_AFFECTED_LC1_RERUN_REGISTER.csv,04_Registers,1422,Structured release-control or certification register
17,04_Registers/EBB-AI-SENTINEL-2_CAPTURED_REQUEST_REGISTER.csv,04_Registers,42500,Structured release-control or certification register
18,04_Registers/EBB-AI-SENTINEL-2_CLAIM_LIMIT_REGISTER.csv,04_Registers,1506,Structured release-control or certification register
19,04_Registers/EBB-AI-SENTINEL-2_FREEZE_HASH_REGISTER.csv,04_Registers,649,Structured release-control or certification register
20,04_Registers/EBB-AI-SENTINEL-2_HIGH_RISK_REPEAT_PLAN.csv,04_Registers,2092,Structured release-control or certification register
21,04_Registers/EBB-AI-SENTINEL-2_LIVE_RESULT_TEMPLATE.csv,04_Registers,8014,Structured release-control or certification register
22,04_Registers/EBB-AI-SENTINEL-2_PREFLIGHT_TEST_RESULTS.csv,04_Registers,2169,Structured release-control or certification register
23,04_Registers/EBB-AI-SENTINEL-2_RELEASE_GATE_REGISTER.csv,04_Registers,1506,Structured release-control or certification register
24,04_Registers/EBB-AI-SENTINEL-2_REQUEST_DIFF_REGISTER.csv,04_Registers,9389,Structured release-control or certification register
25,05_Workbook/EBB-AI-SENTINEL-2_LIVE_CERTIFICATION_AND_RELEASE_WORKBOOK.xlsx,05_Workbook,46437,Interactive live-certification and release-control workbook
